SURVEY_INFO,esdate,towncode,ward,respid,BACKGROUND,gender,age,hhsize,educ,religion,leavemonr2w,leavemonr2wwhere,returnmonr2w,returnmonr2wwhere,EBOLA_AWARENESS,ehowget,esignsymptom,eincubation,ehotline,spreadair,spreadfluids,spreadearly,saltcure,HEALTH,notreatmentj26,under5,childsick,childsickcare,childsicknocareebola,childsickcarewhereelse,hhmemsick,hhmemsickcare,hhmemsicknocareebola,hhmemsickcarewhere,EBOLA_VIGILANCE,egroupa,egroupct,emtgs,emtgswho,corganizedae,csafeburial,bucket,handsanitizer,shakehands,secretburials,hidecases,breakcurfew,havefun,ECONOMIC_FOOD_IMPACTS,nocashjuly,income7d,income7dunit,income7dnormal,income7dnormalunit,occupation,losejob,workless,famlosejob,famworkless,nofoodjuly,nofoodworry7d,skipmeals,limitmealsize,borrowfood,badfood,childmeals,childmealsnormal,bedhungry2w,CONCLUSION,willshare,angry,distractions
,"1/3/2015 10:22:43",2010,"Z1100-Paynesville",2010152,,"1-Male",30,3,"5-Some high school","1-Christian","","","","",,"1-Preparing or eating bush mea;2-Eating fruit bitten by bats;3-Bodily fluids of infected pe;4-Man woman business;5-Touching dead bodies;6-Contact with infected surfac;7-Mother breastfeeding her chi","1-Vomiting;2-Fever;3-Diarrhea;4-Headache;5-Joint and muscle pain;6-Sore throat;7-Weakness;8-Stomach pain;9-Rash;10-Red eyes;11-Hiccups;12-Bleeding;13-Fatigue;14-Bruising",0,"1-Yes","N","Y","Y","N",,"0-Never",1,"N","","","","N","","","",,"1-Yes","1-Yes",0,"88-Other","1-Agree","1-Agree","1-Yes","0-No","0-No","0-No","0-No",0,0,,"3-Many times",0,"1-LD",3000,"1-LD","4-Skilled manual","Y","Y","Y","Y","4-Always","Y",7,7,7,7,1,2,0,,"Y","N","0-None"
,"1/3/2015 9:21:46",2010,"Z1100-Paynesville",2010161,,"2-Female",29,5,"3-Some junior high","1-Christian","0-No","","0-No","",,"3-Bodily fluids of infected pe;5-Touching dead bodies;6-Contact with infected surfac;7-Mother breastfeeding her chi","1-Vomiting;3-Diarrhea;4-Headache;7-Weakness;10-Red eyes",21,"0-No","N","Y","N","N",,"0-Never",2,"Y","Y","","","N","","","",,"0-No","0-No",0,"","1-Agree","97-Do not know","0-No","0-No","0-No","0-No","0-No",0,2,,"2-Several times",0,"1-LD",2000,"1-LD","3-Sales and services","N","N","N","N","2-Several times","Y",0,1,0,2,2,3,0,,"Y","N","0-None"
,"1/3/2015 10:11:08",2010,"Z1100-Paynesville",2010192,,"2-Female",35,9,"6-Completed high school","1-Christian","","","","",,"1-Preparing or eating bush mea;2-Eating fruit bitten by bats;3-Bodily fluids of infected pe","1-Vomiting;5-Joint and muscle pain;8-Stomach pain",4,"0-No","Y","Y","Y","N",,"0-Never",2,"N","","","","N","","","",,"1-Yes","1-Yes",0,"","1-Agree","0-Disagree","1-Yes","0-No","0-No","0-No","0-No",0,0,,"0-Never",100,"1-LD",500,"1-LD","0-None","N","N","N","N","4-Always","Y",7,7,0,7,1,2,0,,"Y","N","0-None"
,"1/3/2015 10:53:48",2010,"Z1100-Paynesville",2010113,,"2-Female",65,12,"0-None","1-Christian","","","","",,"4-Man woman business;5-Touching dead bodies;6-Contact with infected surfac","1-Vomiting;2-Fever;3-Diarrhea;18-Cough",2,"0-No","Y","Y","Y","N",,"2-Several times",4,"Y","N","Y","","Y","N","Y","",,"1-Yes","0-No",0,"","1-Agree","1-Agree","1-Yes","0-No","0-No","97-Do not know","97-Do not know",0,3,,"2-Several times",250,"1-LD",750,"1-LD","5-Unskilled manual","Y","Y","Y","Y","3-Many times","Y",3,5,4,4,1,1,3,,"Y","N","2-Child present"
,"1/3/2015 9:21:17",2010,"Z1100-Paynesville",2010191,,"2-Female",32,11,"0-None","1-Christian","","","","",,"1-Preparing or eating bush mea;3-Bodily fluids of infected pe;5-Touching dead bodies","1-Vomiting;3-Diarrhea;5-Joint and muscle pain;7-Weakness",21,"0-No","N","Y","Y","N",,"4-Always",0,"","","","","N","","","",,"0-No","0-No",0,"","1-Agree","1-Agree","1-Yes","0-No","0-No","0-No","0-No",0,0,,"4-Always",1000,"1-LD",1500,"1-LD","3-Sales and services","Y","Y","Y","Y","3-Many times","Y",0,14,0,12,2,3,0,,"Y","Y","2-Child present;3-Spouse present;4-Friend present"
,"1/3/2015 9:32:22",2010,"Z1100-Paynesville",2010151,,"2-Female",25,3,"6-Completed high school","1-Christian","0-No","","0-No","",,"1-Preparing or eating bush mea;2-Eating fruit bitten by bats;3-Bodily fluids of infected pe;4-Man woman business;5-Touching dead bodies;6-Contact with infected surfac;7-Mother breastfeeding her chi","1-Vomiting;2-Fever;3-Diarrhea;4-Headache;5-Joint and muscle pain;6-Sore throat;7-Weakness;8-Stomach pain;9-Rash;10-Red eyes;11-Hiccups;12-Bleeding;13-Fatigue;14-Bruising;15-Chills",21,"1-Yes","N","Y","Y","N",,"1-Just once or twice",2,"N","","","","N","","","",,"1-Yes","1-Yes",0,"88-Other","1-Agree","1-Agree","0-No","0-No","0-No","0-No","0-No",0,0,,"4-Always",1500,"1-LD",2500,"1-LD","1-Professional","N","Y","Y","Y","3-Many times","Y",7,7,1,7,3,3,2,,"Y","N","0-None"
,"1/3/2015 10:02:56",2010,"Z1100-Paynesville",2010131,,"1-Male",31,5,"5-Some high school","1-Christian","","","","",,"3-Bodily fluids of infected pe;6-Contact with infected surfac","1-Vomiting;2-Fever;3-Diarrhea",21,"0-No","N","Y","Y","N",,"0-Never",1,"N","","","","N","","","",,"1-Yes","1-Yes",3,"4-NGOs","1-Agree","1-Agree","1-Yes","0-No","0-No","0-No","0-No",0,0,,"3-Many times",0,"1-LD",1000,"1-LD","4-Skilled manual","Y","Y","Y","Y","0-Never","Y",2,2,0,2,1,2,0,,"Y","N","0-None"
,"1/3/2015 11:15:44",2010,"Z1100-Paynesville",2010153,,"2-Female",24,4,"5-Some high school","1-Christian","0-No","","0-No","",,"1-Preparing or eating bush mea;2-Eating fruit bitten by bats;3-Bodily fluids of infected pe;4-Man woman business;5-Touching dead bodies;6-Contact with infected surfac;7-Mother breastfeeding her chi","1-Vomiting;2-Fever;3-Diarrhea;4-Headache;5-Joint and muscle pain;6-Sore throat;7-Weakness;8-Stomach pain;9-Rash;10-Red eyes;11-Hiccups;12-Bleeding;13-Fatigue;14-Bruising",2,"0-No","N","N","Y","N",,"0-Never",1,"N","","","","N","","","",,"1-Yes","1-Yes",0,"88-Other","1-Agree","1-Agree","0-No","0-No","0-No","0-No","0-No",0,0,,"4-Always",500,"1-LD",1000,"1-LD","3-Sales and services","Y","Y","Y","Y","0-Never","Y",7,7,3,7,1,2,0,,"Y","Y","0-None"
,"1/5/2015 11:56:28",2011,"Z1100-Paynesville",2011103,,"2-Female",24,10,"3-Some junior high","1-Christian","1-Yes","9-Margibi","1-Yes","8-Lofa",,"6-Contact with infected surfac;88-Other","1-Vomiting;2-Fever;3-Diarrhea;7-Weakness;88-Other",21,"0-No","N","Y","Y","N",,"0-Never",2,"N","","","","N","","","",,"1-Yes","0-No",0,"88-Other","1-Agree","1-Agree","1-Yes","1-Yes","1-Yes","0-No","0-No",0,0,,"1-Just once or twice",400,"1-LD",2500,"1-LD","0-None","N","Y","Y","Y","1-Just once or twice","Y",2,2,1,5,1,3,0,,"Y","N","0-None"
,"1/5/2015 10:10:43",2011,"Z1100-Paynesville",2011121,,"2-Female",29,4,"6-Completed high school","1-Christian","0-No","","0-No","",,"5-Touching dead bodies;6-Contact with infected surfac;88-Other","1-Vomiting;2-Fever;3-Diarrhea;10-Red eyes;88-Other",21,"1-Yes","N","Y","Y","N",,"0-Never",1,"N","","","","N","","","",,"1-Yes","1-Yes",0,"88-Other","1-Agree","1-Agree","1-Yes","1-Yes","0-No","0-No","0-No",0,0,,"3-Many times",0,"88-N/A",1500,"1-LD","1-Professional","Y","Y","N","N","3-Many times","Y",7,7,0,7,1,2,0,,"Y","N","0-None"
,"1/5/2015 13:02:30",2011,"Z1100-Paynesville",2011104,,"1-Male",30,3,"6-Completed high school","1-Christian","","","","",,"6-Contact with infected surfac","1-Vomiting;3-Diarrhea;12-Bleeding",7,"0-No","N","Y","Y","Y",,"0-Never",0,"","","","","N","","","",,"0-No","0-No",0,"88-Other","1-Agree","1-Agree","0-No","1-Yes","0-No","0-No","0-No",0,0,,"0-Never",0,"88-N/A",1500,"1-LD","5-Unskilled manual","Y","Y","N","Y","0-Never","Y",0,3,0,2,99,99,99,,"Y","N","0-None"
,"1/5/2015 13:43:01",2011,"Z1100-Paynesville",2011175,,"1-Male",45,8,"6-Completed high school","2-Muslim","0-No","","0-No","",,"1-Preparing or eating bush mea;2-Eating fruit bitten by bats;3-Bodily fluids of infected pe","1-Vomiting;2-Fever;3-Diarrhea;4-Headache;10-Red eyes",21,"1-Yes","Y","Y","Y","N",,"0-Never",2,"N","","","","N","","","",,"1-Yes","1-Yes",2,"1-Community leaders;4-NGOs","1-Agree","1-Agree","0-No","0-No","0-No","97-Do not know","0-No",2,3,,"2-Several times",2000,"1-LD",200,"2-USD","4-Skilled manual","Y","Y","N","N","3-Many times","Y",4,2,1,6,2,3,0,,"Y","N","0-None;88-Other"
,"1/5/2015 13:27:17",2011,"Z1100-Paynesville",2011221,,"1-Male",28,12,"6-Completed high school","1-Christian","","","","",,"5-Touching dead bodies;6-Contact with infected surfac","1-Vomiting;2-Fever;3-Diarrhea;4-Headache;12-Bleeding",8,"1-Yes","N","Y","N","N",,"1-Just once or twice",3,"Y","Y","","","Y","Y","","1-Clinic",,"1-Yes","1-Yes",0,"88-Other","1-Agree","1-Agree","1-Yes","0-No","1-Yes","0-No","0-No",14,4,,"1-Just once or twice",200,"1-LD",1500,"1-LD","3-Sales and services","N","Y","Y","N","0-Never","Y",0,2,0,3,1,2,0,,"Y","N","0-None"
,"1/5/2015 9:47:02",2011,"Z1100-Paynesville",2011171,,"1-Male",35,7,"6-Completed high school","1-Christian","0-No","","0-No","",,"1-Preparing or eating bush mea;2-Eating fruit bitten by bats;3-Bodily fluids of infected pe;5-Touching dead bodies","1-Vomiting;2-Fever;3-Diarrhea;10-Red eyes",21,"1-Yes","Y","Y","Y","N",,"0-Never",1,"N","","","","N","","","",,"0-No","0-No",0,"1-Community leaders;5-Government agency","1-Agree","1-Agree","1-Yes","0-No","0-No","97-Do not know","0-No",0,0,,"3-Many times",0,"1-LD",12000,"1-LD","5-Unskilled manual","Y","Y","Y","Y","3-Many times","Y",3,4,0,6,2,3,0,,"Y","N","0-None"
,"1/5/2015 12:37:47",2011,"Z1100-Paynesville",2011202,,"2-Female",22,8,"5-Some high school","1-Christian","0-No","","0-No","",,"3-Bodily fluids of infected pe;5-Touching dead bodies;6-Contact with infected surfac","1-Vomiting;2-Fever;3-Diarrhea;4-Headache;9-Rash;10-Red eyes",21,"0-No","N","Y","Y","N",,"1-Just once or twice",0,"","","","","N","","","",,"0-No","0-No",0,"3-Community members","97-Do not know","97-Do not know","1-Yes","1-Yes","0-No","0-No","0-No",0,0,,"1-Just once or twice",500,"1-LD",15,"2-USD","0-None","N","N","Y","Y","2-Several times","Y",3,4,0,2,1,3,0,,"Y","N","88-Other"
,"1/5/2015 14:30:57",2011,"Z1100-Paynesville",2011222,,"1-Male",43,6,"6-Completed high school","1-Christian","","","","",,"1-Preparing or eating bush mea;2-Eating fruit bitten by bats;5-Touching dead bodies;6-Contact with infected surfac","1-Vomiting;2-Fever;3-Diarrhea;4-Headache;6-Sore throat;10-Red eyes",21,"0-No","N","Y","Y","N",,"2-Several times",2,"Y","Y","","","Y","Y","","1-Clinic",,"1-Yes","1-Yes",0,"1-Community leaders","1-Agree","1-Agree","1-Yes","0-No","1-Yes","1-Yes","0-No",2,2,,"2-Several times",1500,"1-LD",3000,"1-LD","5-Unskilled manual","N","Y","Y","Y","2-Several times","Y",2,2,1,2,1,2,0,,"Y","N","0-None"
,"1/5/2015 10:58:41",2011,"Z1100-Paynesville",2011182,,"2-Female",32,20,"5-Some high school","1-Christian","","","","",,"2-Eating fruit bitten by bats;5-Touching dead bodies;88-Other","1-Vomiting;3-Diarrhea;10-Red eyes",21,"1-Yes","Y","Y","Y","N",,"0-Never",3,"N","","","","N","","","",,"1-Yes","0-No",0,"","1-Agree","1-Agree","1-Yes","1-Yes","0-No","0-No","0-No",0,0,,"3-Many times",0,"1-LD",1000,"1-LD","3-Sales and services","Y","N","Y","N","0-Never","Y",0,1,0,2,1,3,99,,"Y","N","0-None"
,"1/5/2015 12:10:02",2011,"Z1100-Paynesville",2011183,,"1-Male",30,5,"7-Some university","1-Christian","","","","",,"1-Preparing or eating bush mea;3-Bodily fluids of infected pe;4-Man woman business","1-Vomiting;9-Rash;10-Red eyes;12-Bleeding",2,"1-Yes","N","Y","N","N",,"0-Never",1,"N","","","","N","","","",,"1-Yes","0-No",0,"","1-Agree","1-Agree","1-Yes","0-No","1-Yes","0-No","0",0,0,,"2-Several times",500,"1-LD",2000,"1-LD","6-Domestic services","Y","Y","N","N","1-Just once or twice","Y",0,1,1,0,2,3,99,,"Y","N","0-None"
,"1/5/2015 10:51:37",2011,"Z1100-Paynesville",2011102,,"2-Female",32,8,"8-Completed university","1-Christian","","","","",,"5-Touching dead bodies;6-Contact with infected surfac","2-Fever;3-Diarrhea;6-Sore throat;7-Weakness;10-Red eyes;12-Bleeding",21,"0-No","N","Y","N","N",,"0-Never",2,"N","","","","N","","","",,"0-No","0-No",0,"88-Other","0-Disagree","1-Agree","0-No","0-No","0-No","0-No","0-No",0,3,,"3-Many times",0,"88-N/A",300,"2-USD","4-Skilled manual","Y","N","Y","Y","3-Many times","Y",3,7,7,7,1,3,0,,"Y","N","0-None"
,"1/5/2015 13:22:28",2011,"Z1100-Paynesville",2011142,,"2-Female",56,5,"7-Some university","1-Christian","0-No","","0-No","",,"3-Bodily fluids of infected pe;5-Touching dead bodies;6-Contact with infected surfac","1-Vomiting;2-Fever;3-Diarrhea;10-Red eyes",21,"0-No","N","Y","N","N",,"0-Never",1,"N","","","","N","","","",,"1-Yes","1-Yes",0,"1-Community leaders","97-Do not know","1-Agree","1-Yes","1-Yes","0-No","0-No","0-No",0,0,,"2-Several times",1200,"1-LD",700,"1-LD","6-Domestic services","N","Y","N","Y","2-Several times","N",0,4,0,5,2,3,0,,"Y","N","0-None"
,"1/5/2015 10:54:03",2011,"Z1100-Paynesville",2011122,,"1-Male",58,6,"6-Completed high school","1-Christian","1-Yes","8-Lofa","1-Yes","8-Lofa",,"3-Bodily fluids of infected pe;5-Touching dead bodies;6-Contact with infected surfac;88-Other","1-Vomiting;2-Fever;4-Headache;9-Rash;10-Red eyes;88-Other",21,"0-No","N","Y","Y","N",,"1-Just once or twice",0,"","","","","N","","","",,"1-Yes","0-No",0,"88-Other","1-Agree","1-Agree","1-Yes","0-No","0-No","0-No","0-No",0,0,,"3-Many times",0,"88-N/A",0,"88-N/A","4-Skilled manual","Y","Y","Y","Y","0-Never","Y",7,7,0,2,1,2,0,,"Y","N","0-None"
,"1/5/2015 11:28:26",2011,"Z1100-Paynesville",2011174,,"2-Female",20,8,"4-Completed junior high","1-Christian","","","","",,"1-Preparing or eating bush mea;2-Eating fruit bitten by bats;3-Bodily fluids of infected pe;5-Touching dead bodies","1-Vomiting;2-Fever;3-Diarrhea;10-Red eyes",7,"1-Yes","N","Y","Y","N",,"0-Never",1,"N","","","","N","","","",,"1-Yes","1-Yes",0,"1-Community leaders;88-Other","1-Agree","1-Agree","1-Yes","0-No","0-No","0-No","97-Do not know",2,0,,"0-Never",2500,"1-LD",4000,"1-LD","3-Sales and services","N","N","N","N","3-Many times","Y",4,2,0,6,1,2,0,,"Y","N","0-None"
,"1/5/2015 10:08:32",2011,"Z1100-Paynesville",2011181,,"2-Female",29,4,"2-Completed ABC","1-Christian","","","","",,"3-Bodily fluids of infected pe;5-Touching dead bodies;88-Other","1-Vomiting;2-Fever;3-Diarrhea",2,"1-Yes","N","Y","N","N",,"0-Never",1,"N","","","","N","","","",,"1-Yes","0-No",0,"","1-Agree","1-Agree","1-Yes","1-Yes","0-No","0-No","0-No",0,0,,"0-Never",1400,"1-LD",2000,"1-LD","3-Sales and services","N","N","N","N","0-Never","Y",0,0,0,0,2,2,99,,"Y","Y","2-Child present"
,"1/5/2015 9:43:38",2011,"Z1100-Paynesville",2011101,,"1-Male",48,10,"88-Other","1-Christian","0-No","","0-No","",,"5-Touching dead bodies;6-Contact with infected surfac","2-Fever;4-Headache;10-Red eyes;15-Chills",21,"0-No","N","Y","Y","N",,"2-Several times",2,"N","","","","N","","","",,"0-No","0-No",0,"88-Other","1-Agree","1-Agree","1-Yes","1-Yes","0-No","0-No","0-No",0,4,,"2-Several times",0,"1-LD",5000,"1-LD","88-Other","Y","N","N","Y","2-Several times","Y",2,6,0,2,2,3,0,,"Y","N","0-None"
,"1/5/2015 11:42:56",2011,"Z1100-Paynesville",2011141,,"2-Female",38,4,"0-None","1-Christian","","","","",,"1-Preparing or eating bush mea;3-Bodily fluids of infected pe;5-Touching dead bodies","1-Vomiting;2-Fever;3-Diarrhea;10-Red eyes",21,"0-No","N","Y","N","N",,"0-Never",0,"","","","","N","","","",,"1-Yes","1-Yes",0,"1-Community leaders;3-Community members","1-Agree","1-Agree","1-Yes","1-Yes","0-No","0-No","0-No",0,3,,"1-Just once or twice",35,"2-USD",21000,"1-LD","6-Domestic services","Y","Y","Y","Y","2-Several times","N",0,0,0,0,2,2,0,,"Y","N","0-None"
,"1/5/2015 13:24:02",2011,"Z1100-Paynesville",2011203,,"1-Male",37,6,"7-Some university","1-Christian","","","","",,"3-Bodily fluids of infected pe;5-Touching dead bodies;6-Contact with infected surfac","1-Vomiting;3-Diarrhea;4-Headache;7-Weakness;10-Red eyes",3,"0-No","N","Y","Y","N",,"0-Never",0,"","","","","N","","","",,"0-No","0-No",0,"","1-Agree","1-Agree","0-No","1-Yes","1-Yes","0-No","0-No",0,0,,"2-Several times",1000,"1-LD",150,"2-USD","4-Skilled manual","Y","Y","N","N","2-Several times","Y",4,3,0,7,2,3,0,,"Y","N","0-None"
,"1/5/2015 11:33:39",2011,"Z1100-Paynesville",2011123,,"2-Female",58,10,"0-None","1-Christian","0-No","","1-Yes","8-Lofa",,"4-Man woman business;5-Touching dead bodies;88-Other","1-Vomiting;2-Fever;3-Diarrhea;10-Red eyes;88-Other",21,"0-No","N","Y","N","N",,"3-Many times",0,"","","","","N","","","",,"0-No","0-No",0,"88-Other","1-Agree","1-Agree","1-Yes","0-No","0-No","0-No","0-No",0,0,,"0-Never",0,"88-N/A",2000,"1-LD","5-Unskilled manual","N","N","N","N","3-Many times","Y",2,7,2,7,2,3,0,,"Y","N","0-None"
,"1/5/2015 10:51:23",2011,"Z1100-Paynesville",2011173,,"",,,"","","","","","",,"5-Touching dead bodies","1-Vomiting;3-Diarrhea;7-Weakness;10-Red eyes",7,"1-Yes","N","Y","Y","N",,"0-Never",1,"N","","","","N","","","",,"0-No","0-No",0,"1-Community leaders;4-NGOs","1-Agree","1-Agree","1-Yes","0-No","0-No","97-Do not know","0-No",2,2,,"3-Many times",2500,"1-LD",3000,"1-LD","3-Sales and services","Y","Y","Y","Y","3-Many times","Y",7,3,1,6,1,3,1,,"Y","N","0-None"
,"1/5/2015 10:18:16",2011,"Z1100-Paynesville",2011172,,"1-Male",59,11,"3-Some junior high","1-Christian","","","","",,"1-Preparing or eating bush mea;2-Eating fruit bitten by bats;3-Bodily fluids of infected pe;4-Man woman business","1-Vomiting;2-Fever;3-Diarrhea;7-Weakness;10-Red eyes",21,"0-No","Y","Y","Y","N",,"0-Never",1,"N","","","","N","","","",,"1-Yes","1-Yes",2,"1-Community leaders;4-NGOs;88-Other","1-Agree","1-Agree","1-Yes","0-No","0-No","97-Do not know","0-No",0,0,,"3-Many times",2000,"1-LD",25000,"1-LD","5-Unskilled manual","Y","Y","Y","Y","3-Many times","Y",4,2,7,6,1,3,0,,"Y","N","0-None"
,"1/5/2015 11:41:37",2011,"Z1100-Paynesville",2011201,,"2-Female",21,9,"7-Some university","1-Christian","","","","",,"3-Bodily fluids of infected pe;5-Touching dead bodies;6-Contact with infected surfac","1-Vomiting;2-Fever;3-Diarrhea;5-Joint and muscle pain;6-Sore throat;9-Rash",3,"1-Yes","N","Y","N","N",,"0-Never",1,"Y","N","N","","N","","","",,"1-Yes","1-Yes",0,"","1-Agree","1-Agree","1-Yes","1-Yes","1-Yes","0-No","0-No",0,0,,"1-Just once or twice",100,"1-LD",500,"1-LD","0-None","N","N","N","N","1-Just once or twice","Y",0,1,0,1,2,2,0,,"Y","N","0-None"
,"1/5/2015 16:03:56",2011,"Z1100-Paynesville",2011223,,"1-Male",22,5,"5-Some high school","1-Christian","","","","",,"1-Preparing or eating bush mea;2-Eating fruit bitten by bats;5-Touching dead bodies","1-Vomiting;2-Fever;3-Diarrhea;4-Headache;10-Red eyes",21,"0-No","N","Y","N","N",,"1-Just once or twice",2,"Y","Y","","","Y","Y","","1-Clinic",,"1-Yes","1-Yes",0,"1-Community leaders","1-Agree","1-Agree","1-Yes","0-No","1-Yes","0-No","0-No",2,7,,"0-Never",5000,"1-LD",6000,"1-LD","4-Skilled manual","N","Y","N","N","0-Never","N",1,1,0,2,2,2,1,,"Y","N","0-None"
,"1/7/2015 12:55:36",2012,"Z1100-Paynesville",2012154,,"1-Male",38,6,"5-Some high school","1-Christian","","","","",,"1-Preparing or eating bush mea;2-Eating fruit bitten by bats;3-Bodily fluids of infected pe;4-Man woman business;5-Touching dead bodies;6-Contact with infected surfac;7-Mother breastfeeding her chi","1-Vomiting;2-Fever;3-Diarrhea;4-Headache;5-Joint and muscle pain;6-Sore throat;7-Weakness;8-Stomach pain;9-Rash;10-Red eyes;11-Hiccups;12-Bleeding;13-Fatigue",21,"0-No","N","Y","Y","N",,"0-Never",2,"N","","","","N","","","",,"1-Yes","1-Yes",0,"88-Other","1-Agree","1-Agree","1-Yes","0-No","0-No","0-No","0-No",0,0,,"3-Many times",1000,"1-LD",3000,"1-LD","4-Skilled manual","N","Y","Y","Y","3-Many times","Y",7,7,1,6,1,2,1,,"Y","N","0-None"
,"1/7/2015 13:11:15",2012,"Z1100-Paynesville",2012223,,"1-Male",22,9,"6-Completed high school","1-Christian","","","","",,"2-Eating fruit bitten by bats;4-Man woman business;6-Contact with infected surfac","1-Vomiting;2-Fever;3-Diarrhea;10-Red eyes",3,"1-Yes","N","Y","N","N",,"0-Never",3,"Y","Y","","","N","","","",,"1-Yes","1-Yes",0,"1-Community leaders","1-Agree","1-Agree","1-Yes","1-Yes","1-Yes","0-No","0-No",6,6,,"3-Many times",400,"1-LD",600,"1-LD","3-Sales and services","Y","Y","Y","Y","0-Never","Y",0,3,0,3,2,3,0,,"Y","N","0-None"
,"1/7/2015 13:54:09",2012,"Z1100-Paynesville",2012116,,"1-Male",47,6,"7-Some university","1-Christian","","","","",,"3-Bodily fluids of infected pe;4-Man woman business;5-Touching dead bodies;6-Contact with infected surfac","1-Vomiting;2-Fever;3-Diarrhea;4-Headache;6-Sore throat;7-Weakness;8-Stomach pain;10-Red eyes;12-Bleeding;18-Cough",21,"1-Yes","Y","Y","Y","N",,"4-Always",0,"","","","","Y","N","Y","",,"0-No","0-No",1,"1-Community leaders;2-Religious leaders;3-Community members","1-Agree","1-Agree","0-No","0-No","1-Yes","0-No","0-No",0,4,,"3-Many times",0,"1-LD",1500,"1-LD","1-Professional","Y","Y","Y","Y","3-Many times","Y",0,7,4,4,1,1,4,,"Y","N","2-Child present;3-Spouse present"
,"1/7/2015 11:09:57",2012,"Z1100-Paynesville",2012113,,"1-Male",69,10,"6-Completed high school","1-Christian","","","","",,"3-Bodily fluids of infected pe;4-Man woman business;5-Touching dead bodies;6-Contact with infected surfac","1-Vomiting;2-Fever;3-Diarrhea;6-Sore throat;7-Weakness;10-Red eyes;18-Cough",21,"1-Yes","Y","Y","Y","N",,"3-Many times",3,"Y","N","Y","","Y","N","Y","",,"0-No","0-No",2,"1-Community leaders;2-Religious leaders;3-Community members","1-Agree","97-Do not know","0-No","0-No","1-Yes","97-Do not know","97-Do not know",0,0,,"3-Many times",500,"1-LD",2000,"1-LD","7-Agriculture","Y","Y","Y","Y","3-Many times","Y",0,6,0,0,1,2,3,,"Y","N","2-Child present;4-Friend present"
,"1/7/2015 11:52:27",2012,"Z1100-Paynesville",2012164,,"1-Male",46,6,"8-Completed university","1-Christian","","","","",,"3-Bodily fluids of infected pe;6-Contact with infected surfac","1-Vomiting;10-Red eyes;15-Chills",14,"1-Yes","N","Y","N","N",,"0-Never",0,"","","","","Y","N","Y","",,"1-Yes","1-Yes",0,"","1-Agree","1-Agree","1-Yes","0-No","0-No","0-No","0-No",0,0,,"2-Several times",1000,"1-LD",1800,"1-LD","1-Professional","N","N","N","N","0-Never","N",0,0,0,0,2,3,0,,"Y","N","0-None"
,"1/7/2015 10:47:04",2012,"Z1100-Paynesville",2012212,,"1-Male",29,7,"5-Some high school","1-Christian","","","","",,"1-Preparing or eating bush mea;3-Bodily fluids of infected pe;5-Touching dead bodies;6-Contact with infected surfac","1-Vomiting;10-Red eyes;88-Other",21,"0-No","N","Y","N","N",,"0-Never",2,"N","","","","N","","","",,"1-Yes","1-Yes",3,"1-Community leaders;4-NGOs","1-Agree","1-Agree","1-Yes","1-Yes","0-No","0-No","1-Yes",0,0,,"2-Several times",200,"1-LD",850,"1-LD","5-Unskilled manual","N","N","N","N","3-Many times","Y",2,4,1,3,1,2,2,,"Y","Y","0-None"
,"1/7/2015 10:34:34",2012,"Z1100-Paynesville",2012112,,"2-Female",40,7,"5-Some high school","1-Christian","","","","",,"3-Bodily fluids of infected pe;4-Man woman business;5-Touching dead bodies;6-Contact with infected surfac","1-Vomiting;2-Fever;3-Diarrhea;6-Sore throat;12-Bleeding",3,"1-Yes","Y","Y","N","N",,"3-Many times",0,"","","","","Y","N","Y","",,"0-No","0-No",0,"","1-Agree","1-Agree","0-No","0-No","1-Yes","97-Do not know","97-Do not know",0,0,,"3-Many times",400,"1-LD",3500,"1-LD","4-Skilled manual","Y","Y","Y","Y","3-Many times","Y",0,3,5,4,1,3,3,,"Y","N","2-Child present;4-Friend present"
,"1/7/2015 11:07:17",2012,"Z1100-Paynesville",2012163,,"2-Female",44,8,"2-Completed ABC","1-Christian","0-No","","0-No","",,"3-Bodily fluids of infected pe;5-Touching dead bodies;6-Contact with infected surfac","1-Vomiting;2-Fever;3-Diarrhea;4-Headache;6-Sore throat;7-Weakness;10-Red eyes;12-Bleeding",21,"1-Yes","N","Y","Y","N",,"0-Never",2,"N","","","","N","","","",,"1-Yes","0-No",0,"","1-Agree","1-Agree","0-No","1-Yes","0-No","0-No","0-No",2,0,,"0-Never",1200,"1-LD",3000,"1-LD","3-Sales and services","N","N","N","N","2-Several times","Y",0,2,0,1,2,3,0,,"Y","N","0-None"
,"1/7/2015 10:54:41",2012,"Z1100-Paynesville",2012152,,"1-Male",25,10,"5-Some high school","3-Other","0-No","","0-No","",,"1-Preparing or eating bush mea;2-Eating fruit bitten by bats;3-Bodily fluids of infected pe;4-Man woman business;5-Touching dead bodies;6-Contact with infected surfac;7-Mother breastfeeding her chi","1-Vomiting;2-Fever;3-Diarrhea;4-Headache;5-Joint and muscle pain;6-Sore throat;7-Weakness;8-Stomach pain;9-Rash;10-Red eyes;11-Hiccups",3,"1-Yes","N","Y","Y","N",,"0-Never",1,"N","","","","N","","","",,"1-Yes","1-Yes",0,"88-Other","1-Agree","1-Agree","0-No","0-No","0-No","0-No","0-No",0,0,,"3-Many times",800,"1-LD",2800,"1-LD","4-Skilled manual","Y","Y","Y","Y","3-Many times","Y",3,3,2,5,1,2,3,,"Y","N","0-None"
